과 목,주 석,제 50 (당) 기,,제 49 (전) 기,
Ⅰ. 당기순이익,,,"32,815,127",,"28,800,837"
Ⅱ. 기타포괄손익,,,"(378,321)",,"319,724"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"(378,321)",,"349,950"
1. 기타포괄손익-공정가치금융자산평가손익,"8, 23","(88,340)",,-,
2. 순확정급여자산 재측정요소,"17, 23","(289,981)",,"349,950",
후속적으로 당기손익으로 재분류되는 포괄손익,,,-,,"(30,226)"
1. 매도가능금융자산평가손익,"9, 23",-,,"(30,226)",
Ⅲ. 총포괄이익,,,"32,436,806",,"29,120,561"
