구 분,당기,전기
기초,"4,571,803","3,771,030"
당기근무원가,"720,162","625,313"
이자원가,"246,147","183,385"
과거근무원가,"103,264",-
재측정 :,,
- 인구통계적가정의 변동으로 인한 보험수리적손익,"55,297",-
- 재무적가정의 변동으로 인한 보험수리적손익,"560,802","(13,122)"
- 기타사항에 의한 효과,"72,897","198,415"
급여지급액,"(332,498)","(210,400)"
기타,"3,170","17,182"
기말,"6,001,044","4,571,803"
