구 분,유통보통주식수,유통우선주식수
전기초,"130,847,899","19,853,734"
- 주식선택권의 행사로 인한 자기주식의 처분,"67,222",-
전기말,"130,915,121","19,853,734"
당기초,"130,915,121","19,853,734"
- 주식선택권의 행사로 인한 자기주식의 처분,"47,530",-
- 자기주식 취득,"(758,055)","(131,250)"
당기말,"130,204,596","19,722,484"
