구 분,당기,전기
기초잔액,"288,170","218,384"
매입,"11,139","60,992"
매도 등,"(1,842)",(399)
당기손익으로 인식된 손익,"(53,053)",-
기타포괄손익으로 인식된 손익,"(29,272)",275
기타,"(33,158)","8,918"
기말잔액,"181,984","288,170"
