구 분,,당기,전기
배당받을주식,보통주,"130,204,596주","130,915,121주"
우선주,"19,722,484주","19,853,734주",
배 당 률,보통주,390%,276%
우선주,391%,277%,
배 당 금 액(백만원),보통주,"2,538,990","1,806,629"
우선주,"385,574","274,974",
계,"2,924,564","2,081,603",
