금융부채,상각후원가로측정하는 금융부채,기타금융부채(*),계
매입채무,"6,398,629",-,"6,398,629"
단기차입금,-,"12,229,701","12,229,701"
미지급금,"9,465,685",-,"9,465,685"
유동성장기부채,"5,201",-,"5,201"
사채,"46,808",-,"46,808"
장기미지급금,"1,537,329",-,"1,537,329"
기타,"3,549,549",-,"3,549,549"
계,"21,003,201","12,229,701","33,232,902"
