구 분,공정가치,가치평가기법,'수준 3' 투입변수,투입변수 범위(가중평균)
기타포괄손익-공정가치금융자산:,,,,
㈜말타니,"9,121",현금흐름할인법,영구성장률,-1.0%~1.0%(0.0%)
가중평균자본비용,8.7%-10.7%(9.7%),,,
삼성벤처투자㈜,"22,060",현금흐름할인법,영구성장률,-1.0%~1.0%(0.0%)
가중평균자본비용,18.7%~20.7%(19.7%),,,
