내 역,금액,
당기말,전기말,
임대주택 관련 채무보증(*),"10,778","13,071"
해외종속기업에 대한 채무보증(한도 기준),"US$ 9,484(원화환산액: \11,115,248)","US$ 9,440(원화환산액: \10,376,805)"
해외종속기업에 대한 채무보증(실차입금 기준),"US$ 1,791(원화환산액: \2,099,153)","US$ 2,152 (원화환산액: \2,365,868)"
