구 분,,,당기,전기
1분기,배당받을 주식,보통주,"121,840,851주",-
우선주,"17,069,534주",-,,
배당률(액면가 기준),,140%,-,
배당금액,보통주,"852,886",-,
우선주,"119,487",-,,
계,"972,373",-,,
2분기,배당받을 주식,보통주,"121,038,051주","123,958,561주"
우선주,"16,868,834주","17,580,920주",,
배당률(액면가 기준),,140%,20%,
배당금액,보통주,"847,266","123,958",
우선주,"118,082","17,581",,
계,"965,348","141,539",,
3분기,배당받을 주식,보통주,"120,316,189주",-
우선주,"16,691,095주",-,,
배당률(액면가 기준),,140%,-,
배당금액,보통주,"842,213",-,
우선주,"116,838",-,,
계,"959,051",-,,
