기업명,당기말,,,전기말,
보유주식수(주),시장가치,장부가액,시장가치,장부가액,
삼성카드,"43,393,170","1,338,679","1,455,485","1,917,978","1,455,485"
삼성전기,"17,693,084","1,112,895","445,244","967,812","445,244"
삼성에스디에스,"17,472,110","4,437,916","560,827","5,128,064","560,827"
