구분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,"49,439","468,830"
삼성전기㈜,385,"101,960",
삼성SDI㈜,"114,618","51,199",
㈜제일기획,43,"444,017",
기타,"203,575","159,668",
계,"368,060","1,225,674",
그 밖의특수관계자,삼성물산㈜,"194,539","2,718,294"
기타,"14,679","160,305",
계,"209,218","2,878,599",
기타(*3),삼성엔지니어링㈜,286,"1,181,947"
㈜에스원,"3,085","59,352",
기타,"4,113","478,136",
계,"7,484","1,719,435",
