구 분,판매보증 (가),기술사용료 (나),장기성과급 (다),"기타(라),(마)",계
기초,"245,366","1,015,280","567,016","497,885","2,325,547"
순전입(환입),"399,582","735,544","388,550","1,524,166","3,047,842"
사용,"(304,130)","(357,148)","(388,562)","(781,974)","(1,831,814)"
기타,-,"(89,658)",-,"(16,414)","(106,072)"
기말,"340,818","1,304,018","567,004","1,223,663","3,435,503"
