구 분,당기말,전기말
외부신용등급이 있는 거래상대방,,
"상환능력 우수, 최고","474,334","395,067"
상환능력 양호,"928,447","731,050"
상환능력 적정,"41,933","45,004"
상환 가능,"123,296","125,353"
소 계,"1,568,010","1,296,474"
외부신용등급이 없는 거래상대방,,
Group 1,"21,154,159","17,781,245"
Group 2,"685,511","769,096"
Group 3,-,-
소 계,"21,839,670","18,550,341"
연체 및 손상되지 아니한 매출채권 계,"23,407,680","19,846,815"
