구 분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,"19,584","583,369"
삼성전기㈜,"2,397","156,536",
삼성SDI㈜,"102,523","96,955",
㈜제일기획,46,"409,411",
기타,"41,555","139,910",
관계기업 및 공동기업 계,"166,105","1,386,181",
그 밖의특수관계자,삼성물산㈜,"201,947","1,161,055"
기타,"14,027","105,558",
그 밖의 특수관계자 계,"215,974","1,266,613",
기타(*3),삼성엔지니어링㈜,"2,689","615,831"
㈜에스원,786,"42,239",
기타,"3,361","31,652",
기타 계,"6,836","689,722",
