구 분,당기,전기
기초,"10,758,672","11,173,636"
당기근무원가,"962,366","1,030,033"
이자원가,"613,363","401,973"
확정급여채무의 재측정요소:,,
- 인구통계적가정의 변동으로 인한 보험수리적손익,"(61,559)",-
- 재무적가정의 변동으로 인한 보험수리적손익,"226,995","(1,779,803)"
- 기타사항에 의한 효과,"117,800","356,672"
급여지급액,"(653,343)","(455,787)"
기타,"18,033","31,948"
기말,"11,982,327","10,758,672"
