구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,"66,776",-,"1,919,443","371,699"
삼성전기,"29,224",-,"943,358",-,
삼성SDI,"42,447",-,"323,472","57,648",
제일기획,"24,670",-,"889,419","3,258",
기타,"540,418",-,"653,269","4,717",
관계기업 및 공동기업 계,"703,535",-,"4,728,961","437,322",
그 밖의특수관계자,삼성물산,"84,895",183,"183,924","3,405,441"
기타,"138,575",-,"423,288","83,398",
그 밖의 특수관계자 계,"223,470",183,"607,212","3,488,839",
기타(*2),삼성엔지니어링,"3,580",-,"38,813","1,098,070"
에스원,"24,821",258,"301,617","21,063",
기타,"121,279",-,"188,265",476,
기타 계,"149,680",258,"528,695","1,119,609",
