구 분,당기말,전기말
기금이 적립된 확정급여채무의 현재가치,"13,152,202","11,959,655"
기금이 적립되지 않은 확정급여채무의 현재가치,"25,500","22,672"
소 계,"13,177,702","11,982,327"
사외적립자산의 공정가치,"(15,427,494)","(15,728,024)"
순확정급여부채(자산) 계,"(2,249,792)","(3,745,697)"
