구 분,공정가치,가치평가기법,'수준 3' 투입변수,투입변수 범위(가중평균)
기타포괄손익-공정가치금융자산:,,,,
삼성벤처투자㈜,"22,198",현금흐름할인법,영구성장률,-1.0%~1.0%(0.0%)
가중평균자본비용,19.7%~21.7%(20.7%),,,
㈜미코세라믹스,"24,636",현금흐름할인법 등,영구성장률,-1.0%~1.0%(0.0%)
가중평균자본비용,14.7%~16.7%(15.7%),,,
