구 분,당기말,,,전기말,,
평가전금액,평가충당금,장부금액,평가전금액,평가충당금,장부금액,
제품 및 상품,"2,621,083","(148,012)","2,473,071","3,045,263","(300,008)","2,745,255"
반제품 및 재공품,"7,956,962","(275,685)","7,681,277","8,328,324","(403,623)","7,924,701"
원재료 및 저장품,"2,014,689","(358,132)","1,656,557","1,523,979","(263,632)","1,260,347"
미착품,"390,807",-,"390,807","510,648",-,"510,648"
계,"12,983,541","(781,829)","12,201,712","13,408,214","(967,263)","12,440,951"
