구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,"53,318",-,"1,767,847","259,287"
삼성전기,"25,657",-,"854,389",302,
삼성SDI,"46,972",-,"272,771","50,973",
제일기획,"11,655",-,"731,436","1,079",
기타,"246,458",-,"535,896","2,750",
관계기업 및 공동기업 계,"384,060",-,"4,162,339","314,391",
그 밖의특수관계자,삼성물산,"123,333",68,"232,600","3,079,642"
기타,"136,846",35,"383,866","70,853",
그 밖의 특수관계자 계,"260,179",103,"616,466","3,150,495",
기타(*2),삼성엔지니어링,"8,734",-,"38,466","1,227,972"
에스원,"29,156",-,"278,913","45,939",
기타,"61,418",3,"158,146",330,
기타 계,"99,308",3,"475,525","1,274,241",
