구 분,당기,전기
당기순이익,"28,800,837","11,579,749"
당기순이익 중 보통주 해당분,"25,302,196","10,149,221"
÷ 가중평균유통보통주식수,"121,132","124,375"
기본 보통주 주당이익(단위: 원),"208,881","81,602"
