구 분,당기,전기
당기순이익,"25,418,778","30,970,954"
당기순이익 중 우선주 해당분,"3,080,039","3,752,648"
÷ 가중평균유통우선주식수(천주),"822,887","822,887"
기본 우선주 주당이익(원),"3,743","4,560"
