구분,기업명(*1),채권 등,채무 등(*2)
관계기업 및 공동기업,삼성에스디에스㈜,"64,364","574,443"
삼성전기㈜,"2,415","108,103",
삼성SDI㈜,"113,845","54,076",
㈜제일기획,59,"421,901",
기타,"192,550","166,311",
계,"373,233","1,324,834",
그 밖의특수관계자,삼성물산㈜,"195,355","1,640,615"
기타,"15,839","125,470",
계,"211,194","1,766,085",
기타(*3),삼성엔지니어링㈜,289,"1,099,881"
㈜에스원,"2,058","29,620",
기타,"4,286","56,476",
계,"6,633","1,185,977",
