구 분,발행일,만기상환일,연이자율(%),금 액,
당기말,당기말,전기말,,,
US$ denominated Straight Bonds(*),1997.10.02,2027.10.01,7.7,"22,050(US$ 15,000천)","25,788(US$ 20,000천)"
사채할인발행차금,,,,(255),(370)
계,,,,"21,795","25,418"
차감: 유동성사채,,,,"(7,265)","(6,354)"
비유동성사채,,,,"14,530","19,064"
