구 분,당기,전기
기초,"340,232","(166,635)"
공정가치평가,"324,785","490,240"
처분으로 인한 이익잉여금 대체,"2,939","16,627"
기말,"667,956","340,232"
차감: 자본에 가감되는 법인세효과,"(179,854)","(94,077)"
계,"488,102","246,155"
