구 분,기초,재무현금흐름,비현금흐름,,기말
리스신규계약,기타(*),,,,
단기차입금,"10,353,873","(41,078)",-,"(84,579)","10,228,216"
사채 및 장기차입금,"48,956","(128,431)","105,440","342,148","368,113"
계,"10,402,829","(169,509)","105,440","257,569","10,596,329"
