구 분,당기말,,전기말,
환율 상승시,환율 하락시,환율 상승시,환율 하락시,
USD,"(168,586)","168,586","134,051","(134,051)"
EUR,"(12,525)","12,525","53,007","(53,007)"
JPY,"(7,583)","7,583","(1,254)","1,254"
