구 분,당기말,전기말
연체되지 않은 채권,"25,712,085","22,129,307"
소 계,"25,712,085","22,129,307"
연체되었으나 손상되지 않은 채권(*) :,,
31일 이하,"178,853","254,760"
소 계,"178,853","254,760"
손상채권 :,,
31일 초과 90일 이하,"52,622","204,437"
90일 초과,"168,879","381,536"
소 계,"221,501","585,973"
계,"26,112,439","22,970,040"
