구 분,금 액
Ⅰ. 이전대가의 공정가치,"785,000"
Ⅱ. 식별가능한 자산과 부채로 인식된 금액,
재고자산,"10,906"
유형자산,"398,984"
무형자산,"182,171"
기타자산,"1,561"
기타부채,"15,363"
총 식별가능한 순자산,"578,259"
Ⅲ. 영업권 (Ⅰ- Ⅱ),"206,741"
