구 분,당기말,,,전기말,,
평가전금액,평가충당금,장부가액,평가전금액,평가충당금,장부가액,
제품 및 상품,"1,003,347","(61,090)","942,257","1,287,058","(45,706)","1,241,352"
반제품 및 재공품,"3,544,921","(364,146)","3,180,775","3,118,092","(204,211)","2,913,881"
원재료 및 저장품,"1,371,893","(226,386)","1,145,507","1,586,769","(109,889)","1,476,880"
미착품,"285,295",-,"285,295","248,350",-,"248,350"
계,"6,205,456","(651,622)","5,553,834","6,240,269","(359,806)","5,880,463"
