구 분,당기,전기
보통주 희석순이익,"10,681,618","12,671,474"
÷ 가중평균된 유통보통주식수와 희석성 잠재적보통주의 합산 주식수,"129,192","130,933"
희석 보통주 주당이익(단위: 원),"82,680","96,779"
