금융부채,상각후원가측정 금융부채,기타금융부채(*),계
매입채무,"7,315,631",-,"7,315,631"
단기차입금,-,"10,353,873","10,353,873"
미지급금,"8,255,775",-,"8,255,775"
유동성장기부채,"5,440",-,"5,440"
사채,"43,516",-,"43,516"
장기미지급금,"2,231,836",-,"2,231,836"
기타,"2,355,676",-,"2,355,676"
계,"20,207,874","10,353,873","30,561,747"
