구 분,기준서 제1115호채택 전 금액,조 정,기준서 제1115호조정 후 금액
매출채권,"27,881,777","402,367","28,284,144"
선급비용,"2,281,179","2,179","2,283,358"
재고자산,"7,837,144","(78,839)","7,758,305"
기타유동자산,"582,257","83,159","665,416"
자산 총계,"198,241,360","408,866","198,650,226"
미지급비용,"6,657,674","206,526","6,864,200"
기타유동부채,"51,009","202,340","253,349"
부채 총계,"46,671,585","408,866","47,080,451"
자본 총계,"151,569,775",-,"151,569,775"
