금융자산,대여금 및수취채권,매도가능금융자산,계
평가손익(기타포괄손익),-,"(30,226)","(30,226)"
평가/처분손익(당기손익),-,264,264
이자수익,"482,608",40,"482,648"
외환차이(당기손익),"(718,549)",-,"(718,549)"
배당금수익,-,"1,218","1,218"
손상/환입(당기손익),"(60,096)","(4,832)","(64,928)"
