구 분,차입처,만기일,연이자율(%),금 액,
당기말,당기말,전기말,,,
단기차입금:,,,,,
담보부차입금(*1),우리은행 등,-,0.0 ~ 17.3,"5,625,163","2,381,512"
유동성장기차입금:,,,,,
리스부채(*2),-,-,2.9,"222,137","129,525"
장기차입금:,,,,,
리스부채(*2),-,-,2.9,"912,035","654,979"
무담보차입금,삼성디스플레이㈜,2025.08.16,4.6,"21,990,000",-
계,,,,"22,902,035","654,979"
