구 분,,당기,전기
배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",
배당률(액면가 기준),보통주,361%,1932%
우선주,362%,1933%,
배당금액,보통주,"2,155,092","11,533,620"
우선주,"297,884","1,590,640",
계,"2,452,976","13,124,260",
