금융자산,상각후원가측정 금융자산,기타포괄손익-공정가치 측정 금융자산,당기손익-공정가치측정 금융자산,계
평가손익(기타포괄손익),-,"239,784",-,"239,784"
평가ㆍ처분손익(당기손익),-,-,"(14,895)","(14,895)"
이자수익,"396,089",-,-,"396,089"
외환차이(당기손익),"1,326,139",-,-,"1,326,139"
배당금수익,-,"3,962",-,"3,962"
손상(환입),"(67,644)",-,-,"(67,644)"
