구 분,당기말,전기말
12개월 이내에 회수(결제)될 이연법인세자산(부채),"2,168,431","1,624,523"
12개월 이후에 회수(결제)될 이연법인세자산(부채),"(1,176,046)","(1,077,347)"
계,"992,385","547,176"
