구 분,당기,전기
기초,"1,364,325","1,662,532"
취득,"15,515",-
처분,"(15,577)","(10,976)"
공정가치평가,"490,240","(285,585)"
기타,-,"(1,646)"
기말,"1,854,503","1,364,325"
