과 목,주석,제 48 (당) 기,,제 47 (전) 기,
Ⅰ. 당기순이익,,,"11,579,749",,"12,238,469"
Ⅱ. 기타포괄손익,,,"308,057",,"(401,296)"
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,"729,634",,"225,048"
1. 순확정급여자산 재측정요소,"17, 23","729,634",,"225,048",
후속적으로 당기손익으로 재분류되는 포괄손익,,,"(421,577)",,"(626,344)"
1. 매도가능금융자산평가손익,"9, 23","(421,577)",,"(626,344)",
Ⅲ. 총포괄이익,,,"11,887,806",,"11,837,173"
