금융자산,당기,전기
기초,"116,726","120,347"
매입,"27,784",-
매도,(343),"(12,720)"
당기손익으로 인식된 손익,"365,451",(108)
기타포괄손익으로 인식된 손익,"(19,215)","22,926"
기타,-,"(13,719)"
기말,"490,403","116,726"
