구 분,,당기,전기
배당받을주식,보통주,"119,688,369주","122,697,651주"
우선주,"16,530,409주","17,283,734주",
배당률(액면가 기준),보통주,430%,550%
우선주,431%,551%,
배당금액,보통주,"2,573,300","3,374,185"
우선주,"356,230","476,167",
계,"2,929,530","3,850,352",
