구 분,차입처,연이자율(%),금 액,
당기말,당기말,전기말,,
단기차입금:,,,,
담보부차입금(*1),우리은행 등,0.0 ~ 16.7,"2,381,512","9,204,268"
유동성장기차입금:,,,,
리스부채(*2),-,1.6,"129,525","133,518"
장기차입금:,,,,
리스부채(*2),-,1.6,"654,979","431,915"
