해외종속기업,보증처,보증종료일,당기말,
관련 차입금,채무보증한도,,,
SETK,BNP 외,2025-12-16,"675,675","1,392,090"
기타,기타,-,-,"10,518,247"
계,,,"675,675(US$ 495,321천)","11,910,337(US$ 8,102,270천)"
