구 분,당기,전기
(1) 판매비와관리비,,
급여,"1,862,339","2,033,141"
퇴직급여,"112,110","132,693"
지급수수료,"2,452,677","3,635,146"
감가상각비,"372,823","336,257"
무형자산상각비,"137,394","126,034"
광고선전비,"750,368","1,429,380"
판매촉진비,"1,318,453","1,424,143"
운반비,"510,314","555,860"
서비스비,"485,295","704,684"
기타판매비와관리비,"1,819,773","2,106,572"
소계,"9,821,546","12,483,910"
(2) 경상연구개발비,,
연구개발 총지출액,"15,490,671","13,621,889"
개발비 자산화,"(296,304)","(447,540)"
소계,"15,194,367","13,174,349"
계,"25,015,913","25,658,259"
