구 분,당기말,전기말
자기주식,"(6,228,187)","(9,750,326)"
매도가능금융자산평가이익,"169,423","199,649"
순확정급여부채 재측정요소,"(362,000)","(711,950)"
기타,"1,760,408","1,760,408"
계,"(4,660,356)","(8,502,219)"
