구 분,산업재산권,개발비,회원권,기타,계
기초장부금액,"1,287,798",-,"196,827","8,955,586","10,440,211"
개별 취득,"270,328",-,"13,531","2,213,977","2,497,836"
상각,"(236,511)",-,-,"(2,195,761)","(2,432,272)"
처분ㆍ폐기,"(33,661)",-,-,"(16,040)","(49,701)"
손상(환입),-,-,(826),-,(826)
기타,(741),-,-,"42,449","41,708"
기말장부금액,"1,287,213",-,"209,532","9,000,211","10,496,956"
