금융자산,당기손익인식 금융자산,대여금 및 수취채권,매도가능 금융자산,계
평가손익(기타포괄손익),0.0,0.0,-373977.0,-373977.0
평가/처분손익(당기손익),0.0,0.0,298158.0,298158.0
평가손익(손익대체),0.0,0.0,-47600.0,-47600.0
이자수익,0.0,547658.0,27959.0,575617.0
외환차이(당기손익),0.0,640184.0,0.0,640184.0
배당수익,0.0,0.0,103883.0,103883.0
손상/환입(당기손익),0.0,-43717.0,-302229.0,-345946.0
