구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타충당부채 (라, 마)",계
기초,179285.0,3745657.0,665148.0,74945.0,4665035.0
순전입액(환입액),287106.0,-1055496.0,166582.0,392822.0,-208986.0
사용액,-279728.0,-1287692.0,-197086.0,-121086.0,-1885592.0
기타(*),-5321.0,90821.0,-9711.0,-112062.0,-36273.0
기말,181342.0,1493290.0,624933.0,234619.0,2534184.0
