과 목,주석,제 48 (당) 기,제 48 (당) 기_2,제 47 (전) 기,제 47 (전) 기_2
Ⅰ. 당기순이익,,,11579749.0,,12238469.0
Ⅱ. 기타포괄손익,,,308057.0,,-401296.0
후속적으로 당기손익으로 재분류되지 않는 포괄손익,,,729634.0,,225048.0
1. 순확정급여자산 재측정요소,"17, 23",729634.0,,225048.0,
후속적으로 당기손익으로 재분류되는 포괄손익,,,-421577.0,,-626344.0
1. 매도가능금융자산평가손익,"9, 23",-421577.0,,-626344.0,
Ⅲ. 총포괄이익,,,11887806.0,,11837173.0
