구 분,발행일,만기상환일,연이자율(%) | 당기말,금 액 | 당기말,금 액 | 전기말
US$ denominated  Straight Bonds,1997.10.2,2027.10.1,7.7,"66,468 (US$55,000천)","70,320 (US$60,000천)"
1년이내 만기도래분,1년이내 만기도래분,1년이내 만기도래분,,-6043.0,-5860.0
사채할인발행차금,사채할인발행차금,사채할인발행차금,,-1883.0,-2134.0
계,계,계,,58542.0,62326.0
