과 목,주 석,제 51 (당) 기,제 51 (당) 기_2,제 50 (전) 기,제 50 (전) 기_2
Ⅰ. 매 출 액,31,,154772859.0,,170381870.0
Ⅱ. 매 출 원 가,23,,113618444.0,,101666506.0
Ⅲ. 매 출 총 이 익,,,41154415.0,,68715364.0
판매비와관리비,"23, 24",27039348.0,,25015913.0,
Ⅳ. 영 업 이 익,,,14115067.0,,43699451.0
기 타 수 익,25,5223302.0,,972145.0,
기 타 비 용,25,678565.0,,504562.0,
금 융 수 익,26,4281534.0,,3737494.0,
금 융 비 용,26,3908869.0,,3505673.0,
Ⅴ. 법인세비용차감전순이익,,,19032469.0,,44398855.0
법 인 세 비 용,27,3679146.0,,11583728.0,
Ⅵ. 당 기 순 이 익,,,15353323.0,,32815127.0
Ⅶ. 주 당 이 익,28,,,,
기본주당이익(단위:원),,,2260.0,,4830.0
희석주당이익(단위:원),,,2260.0,,4830.0
