금융자산,상각후원가 측정 금융자산,기타포괄손익-공정 가치 측정 금융자산,당기손익-공정가치 측정 금융자산,계
평가손익(기타포괄손익),0.0,73199.0,0.0,73199.0
평가/처분손익(당기손익),0.0,0.0,3130.0,3130.0
이자수익,777225.0,0.0,0.0,777225.0
외환차이(당기손익),-188482.0,0.0,0.0,-188482.0
배당금수익,0.0,2414.0,140.0,2554.0
손상/환입(당기손익),232192.0,0.0,0.0,232192.0
