구 분,판매보증  (가),기술사용료  (나),장기성과급  (다),"기타 (라),(마)",계
기초,190995.0,1134379.0,580816.0,601341.0,2507531.0
순전입액(환입액),314757.0,403243.0,198935.0,471973.0,1388908.0
사용액,-260386.0,-529013.0,-214525.0,-544396.0,-1548320.0
기타,0.0,6671.0,1790.0,-31033.0,-22572.0
기말,245366.0,1015280.0,567016.0,497885.0,2325547.0
