구 분,당기 | 매출채권,당기 | 미수금,전기 | 매출채권,전기 | 미수금
기초,260588.0,14912.0,315020.0,18045.0
대손상각(환입),-222589.0,-9578.0,-53579.0,-3128.0
제각,0.0,-3.0,0.0,-1.0
기타,-7.0,0.0,-853.0,-4.0
기말,37992.0,5331.0,260588.0,14912.0
