구 분,CE,IM,DS,계(*)
매출액,26378322.0,57729745.0,85566472.0,170381870.0
감가상각비,95585.0,197802.0,13214492.0,13839797.0
무형자산상각비,23373.0,102503.0,571671.0,855564.0
영업이익,-13223.0,2380339.0,41391596.0,43699451.0
