지역,기업명,업종,지분율 (%)(*)
중국,"Samsung Display Dongguan Co., Ltd.(SDD)",DP 생산,100.0
중국,"Samsung Display Tianjin Co., Ltd.(SDT)",DP 생산,95.0
중국,"Samsung Electronics Hong Kong Co., Ltd.(SEHK)",전자제품 판매,100.0
중국,"Suzhou Samsung Electronics Co., Ltd.(SSEC)",가전제품 생산,88.3
중국,"Samsung Suzhou Electronics Export Co., Ltd.(SSEC-E)",가전제품 생산,100.0
중국,"Samsung (CHINA) Investment Co., Ltd.(SCIC)",전자제품 판매,100.0
중국,Samsung Mobile R&D Center China-Guangzhou (SRC-Guangzhou),R&D,100.0
중국,Samsung Tianjin Mobile Development Center(SRC-Tianjin),R&D,100.0
중국,Samsung R&D Institute China-Shenzhen(SRC-Shenzhen),R&D,100.0
중국,"Samsung Electronics Suzhou Semiconductor Co., Ltd.(SESS)",반도체 임가공,100.0
중국,"SEMES (XIAN) Co., Ltd.",반도체 장비 서비스,100.0
중국,"Samsung Electronics Huizhou Co., Ltd.(SEHZ)",전자제품 생산,100.0
중국,"Tianjin Samsung Electronics Co., Ltd.(TSEC)",CTV/모니터 생산,91.2
중국,"Samsung Electronics Taiwan Co., Ltd.(SET)",전자제품 판매,100.0
중국,Beijing Samsung Telecom R&D Center(SRC-Beijing),R&D,100.0
중국,"Tianjin Samsung Telecom Technology Co., Ltd.(TSTC)",통신제품 생산,90.0
중국,"Shanghai Samsung Semiconductor Co., Ltd.(SSS)",반도체/DP 판매,100.0
중국,"Samsung Electronics Suzhou Computer Co., Ltd.(SESC)",전자제품 생산,100.0
중국,"Samsung Suzhou Module Co., Ltd.(SSM)",DP 생산,100.0
중국,"Samsung Suzhou LCD Co., Ltd.(SSL)",DP 생산,60.0
중국,"Shenzhen Samsung Electronics Telecommunication Co., Ltd. (SSET)",통신제품 생산,100.0
중국,"Samsung Semiconductor (China) R&D Co., Ltd.(SSCR)",R&D,100.0
중국,Samsung Electronics China R&D Center(SRC-Nanjing),R&D,100.0
중국,"Samsung (China) Semiconductor Co., Ltd.(SCS)",반도체 생산,100.0
중국,"Samsung SemiConductor Xian Co., Ltd.(SSCX)",반도체/DP 판매,100.0
중국,"Tianjin Samsung LED Co., Ltd.(TSLED)",LED 생산,100.0
중국,"Harman (China) Technologies Co., Ltd.",오디오제품 생산,100.0
중국,"Harman (Suzhou) Audio and Infotainment Systems Co., Ltd.",오디오제품 판매,100.0
중국,"Harman Automotive Electronic Systems (Suzhou) Co., Ltd.","오디오제품 생산, R&D",100.0
중국,"Harman Commercial (Shanghai) Co., Ltd.",오디오제품 판매,100.0
중국,"Harman Connected Services Solutions (Chengdu) Co., Ltd.",Connected Service Provider,100.0
중국,Harman Holding Limited,오디오제품 판매,100.0
중국,"Harman International (China) Holdings Co., Ltd.","오디오제품 판매, R&D",100.0
중국,"Harman Technology (Shenzhen) Co., Ltd.","오디오제품 판매, R&D",100.0
