구 분,기업명(*1),채권 등,채무 등
관계기업 및 공동기업,삼성에스디에스㈜,5192.0,467438.0
관계기업 및 공동기업,삼성전기㈜,2989.0,112336.0
관계기업 및 공동기업,삼성SDI㈜,102532.0,52825.0
관계기업 및 공동기업,㈜제일기획,129.0,461326.0
관계기업 및 공동기업,기타,94057.0,104942.0
관계기업 및 공동기업,관계기업 및 공동기업 계,204899.0,1198867.0
그 밖의 특수관계자,삼성물산㈜,196829.0,1678553.0
그 밖의 특수관계자,기타(*2),14849.0,119154.0
그 밖의 특수관계자,그 밖의 특수관계자 계,211678.0,1797707.0
기타(*3),삼성엔지니어링㈜,1029.0,428191.0
기타(*3),㈜에스원,2454.0,29113.0
기타(*3),기타,1133.0,29107.0
기타(*3),기타 계,4616.0,486411.0
