구 분,유통보통주식수,유통우선주식수
전기초,119688369.0,16530409.0
자기주식 취득,-292718.0,-72675.0
주식분할(*),5850386899.0,806428966.0
전기말,5969782550.0,822886700.0
당기말,5969782550.0,822886700.0
