구 분,CE 부문,IM 부문,DS 부문,계(*)
매출액,30618259.0,64473747.0,70874770.0,166311191.0
감가상각비,98409.0,202568.0,15413851.0,16125530.0
무형자산상각비,50762.0,1373849.0,1021608.0,2615225.0
영업이익,592493.0,4285747.0,15633976.0,20518974.0
