해외종속기업,보증처,보증종료일,당기말 | 관련 차입금,당기말 | 채무보증한도
SETK,BNP 등,2021.12.16,184175.0,910656.0
SAMCOL,Citibank 등,2021.12.16,128239.0,337280.0
기타,,,0.0,7743618.0
계,,,"312,414 (US$ 286,389천)","8,991,554 (US$ 8,264,296천)"
