구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,7825177.0,15373415.0,39529786.0,6380213.0,1493902.0,70602493.0
- 취득원가,7825177.0,22801947.0,122746311.0,6380213.0,2821585.0,162575233.0
- 감가상각누계액(손상 포함),0.0,-7428532.0,-83216525.0,0.0,-1327683.0,-91972740.0
일반취득 및 자본적지출,40103.0,568514.0,8213462.0,9041876.0,346203.0,18210158.0
사업결합으로 인한 취득,0.0,15168.0,378440.0,4252.0,1124.0,398984.0
감가상각,-352.0,-1180353.0,-13564862.0,0.0,-455581.0,-15201148.0
처분ㆍ폐기,-61099.0,-20851.0,-220890.0,-98.0,-4491.0,-307429.0
손상(환입),0.0,0.0,-518.0,0.0,-8344.0,-8862.0
기타,-557.0,152139.0,156641.0,-131456.0,219312.0,396079.0
기말장부금액,7803272.0,14908032.0,34492059.0,15294787.0,1592125.0,74090275.0
- 취득원가,7803624.0,23486138.0,127459572.0,15294787.0,3312418.0,177356539.0
- 감가상각누계액(손상 포함),-352.0,-8578106.0,-92967513.0,0.0,-1720293.0,-103266264.0
