과 목,주석,제 52 (당) 기,제 52 (당) 기_2,제 51 (전) 기,제 51 (전) 기_2
자 산,,,,,
Ⅰ. 유 동 자 산,,,73798549.0,,72659080.0
1. 현금및현금성자산,"4, 28",989045.0,,2081917.0,
2. 단기금융상품,"4, 28",29101284.0,,26501392.0,
3. 매출채권,"4, 5, 7, 28",24736740.0,,26255438.0,
4. 미수금,"4, 7, 28",1898583.0,,2406795.0,
5. 선급비용,,890680.0,,813651.0,
6. 재고자산,8,13831372.0,,12201712.0,
7. 기타유동자산,"4, 28",2350845.0,,2398175.0,
Ⅱ. 비 유 동 자 산,,,155865878.0,,143521840.0
1. 기타포괄손익-공정가치금융자산,"4, 6, 28",1539659.0,,1206080.0,
2. 당기손익-공정가치금융자산,"4, 6, 28",3107.0,,3181.0,
"3. 종속기업, 관계기업 및 공동기업 투자",9,56587548.0,,56571252.0,
4. 유형자산,10,86166924.0,,74090275.0,
5. 무형자산,11,7002648.0,,8008653.0,
6. 순확정급여자산,14,1162456.0,,486855.0,
7. 이연법인세자산,25,992385.0,,547176.0,
8. 기타비유동자산,"4, 7, 28",2411151.0,,2608368.0,
자 산 총 계,,,229664427.0,,216180920.0
부 채,,,,,
Ⅰ. 유 동 부 채,,,44412904.0,,36237164.0
1. 매입채무,"4, 28",6599025.0,,7547273.0,
2. 단기차입금,"4, 5, 12, 28",12520367.0,,10228216.0,
3. 미지급금,"4, 28",9829541.0,,9142890.0,
4. 선수금,17,424368.0,,355562.0,
5. 예수금,"4, 28",432714.0,,383450.0,
6. 미지급비용,"4, 17, 28",7927017.0,,5359291.0,
7. 당기법인세부채,,3556146.0,,788846.0,
8. 유동성장기부채,"4, 12, 13, 28",87571.0,,153942.0,
9. 충당부채,15,2932468.0,,2042039.0,
10. 기타유동부채,17,103687.0,,235655.0,
Ⅱ. 비 유 동 부 채,,,1934799.0,,2073509.0
1. 사채,"4, 13, 28",31909.0,,39520.0,
2. 장기차입금,"4, 12, 28",150397.0,,174651.0,
3. 장기미지급금,"4, 28",1247752.0,,1574535.0,
4. 장기충당부채,15,503035.0,,283508.0,
5. 기타비유동부채,,1706.0,,1295.0,
부 채 총 계,,,46347703.0,,38310673.0
자 본,,,,,
Ⅰ. 자본금,18,,897514.0,,897514.0
1. 우선주자본금,,119467.0,,119467.0,
2. 보통주자본금,,778047.0,,778047.0,
Ⅱ. 주식발행초과금,,,4403893.0,,4403893.0
Ⅲ. 이익잉여금,19,,178284102.0,,172288326.0
Ⅳ. 기타자본항목,20,,-268785.0,,280514.0
자 본 총 계,,,183316724.0,,177870247.0
부 채 와 자 본 총 계,,,229664427.0,,216180920.0
