구 분,당기말 | 환율 상승시,당기말 | 환율 하락시,전기말 | 환율 상승시,전기말 | 환율 하락시
USD,25761.0,-25761.0,72735.0,-72735.0
EUR,-22112.0,22112.0,-19487.0,19487.0
INR,21948.0,-21948.0,64155.0,-64155.0
JPY,-5662.0,5662.0,-6274.0,6274.0
